NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,CUSINE TYPE,RATING,VOTES,Latitude,Longitude
Keerai Kadai,200,['Healthy Food'],Coimbatore,Saibaba Colony,https://www.zomato.com/coimbatore/keerai-kadai-saibaba-colony/info,Quick Bites,0.0,0.0,,
Sagar Baker's,150,['Bakery'],Nagpur,Nandanvan,https://www.zomato.com/nagpur/sagar-bakers-nandanvan/info,Bakery,0.0,0.0,21.1209518430,79.1431330517
Hotel Suprabha,500,"['North Indian', 'South Indian', 'Chinese', 'Fast Food', 'Beverages']",Mumbai,Dadar East,https://www.zomato.com/mumbai/hotel-suprabha-dadar-east/info,Casual Dining,3.4,33.0,19.0160513434,72.8438961133
Aamblee Restaurant,500,"['North Indian', 'Chinese', 'Fast Food']",Jaipur,Sikar Road,https://www.zomato.com/jaipur/aamblee-restaurant-sikar-road/info,Casual Dining,0.0,0.0,,
Rustic Door,1500,"['Italian', 'North Indian', 'Continental', 'Cafe']",Chandigarh,Sector 10-- Chandigarh,https://www.zomato.com/chandigarh/rustic-door-sector-10/info,Casual Dining,4.0,614.0,30.7547531934,76.7873616144
Ruche Foods,100,['South Indian'],Hyderabad,A S Rao Nagar,https://www.zomato.com/hyderabad/ruche-foods-as-rao-nagar-secunderabad/info,Quick Bites,3.1,27.0,17.4771524000,78.5558688000
Arzak,300,"['Arabian', 'Middle Eastern', 'Rolls', 'Seafood', 'BBQ']",Bengaluru,Whitefield,https://www.zomato.com/bangalore/arzak-1-whitefield-bangalore/info,Unknown,0.0,0.0,12.9941440000,77.6994080000
Maa Vaishnavi Kitchen,300,['Indian'],Nagpur,Gandhibagh,https://www.zomato.com/nagpur/maa-vaishnavi-kitchen-gandhibagh/info,Quick Bites,0.0,0.0,21.1427122177,79.1063760594
The Egypt Cafe And Restro,500,"['Chinese', 'Italian']",Bhopal,Arera Colony,https://www.zomato.com/bhopal/the-egypt-cafe-and-restro-arera-colony/info,Quick Bites,3.3,40.0,23.2145480000,77.4293184000
Al-Rousha,400,"['Mughlai', 'Chinese']",Bengaluru,Sahakara Nagar,https://www.zomato.com/bangalore/al-rousha-sahakara-nagar-bangalore/info,Quick Bites,0.0,0.0,,
MH20,500,['North Indian'],Aurangabad,Gadia Vihar,https://www.zomato.com/aurangabad/mh20-gadia-vihar/info,Casual Dining,2.3,59.0,19.8498805533,75.3359163925
Petoo,350,"['North Indian', 'Continental', 'Chinese', 'Burger']",Kanpur,Kakadeo,https://www.zomato.com/kanpur/petoo-kakadeo/info,Quick Bites,2.3,76.0,26.4780096270,80.2946060523
Season 3,300,"['North Indian', 'Gujarati']",Rajkot,Nana Mava,https://www.zomato.com/rajkot/season-3-nana-mava/info,Quick Bites,2.3,11.0,22.2722260000,70.7718880000
Cafe Creme,300,"['Cafe', 'Desserts']",Aurangabad,Ulkanagari,https://www.zomato.com/aurangabad/cafe-creme-ulkanagari/info,Café,2.3,17.0,19.8638373000,75.3439710000
Subway,500,"['Salad', 'Fast Food', 'Sandwich', 'Healthy Food']",Bengaluru,Indiranagar,https://www.zomato.com/bangalore/subway-indiranagar/info,Quick Bites,2.3,264.0,12.9637047307,77.6406199113
Hot Chips,700,"['South Indian', 'North Indian', 'Chinese']",Chennai,Velachery,https://www.zomato.com/chennai/hot-chips-velachery/info,Quick Bites,2.2,227.0,12.9823567623,80.2218222991
Zaika,800,"['North Indian', 'Mughlai', 'Kebab', 'Biryani', 'Afghan']",Mumbai,Mulund West,https://www.zomato.com/mumbai/zaika-mulund-west/info,Unknown,2.2,63.0,19.1575842658,72.9360977188
Grandma's Kitchen,400,"['North Indian', 'South Indian']",Delhi NCR,DLF Phase 3,https://www.zomato.com/ncr/grandmas-kitchen-dlf-phase-3-gurgaon/info,Quick Bites,2.2,127.0,,
Drinks at MRP,1200,"['North Indian', 'Chinese', 'Mughlai', 'Momos']",Delhi NCR,V3S Mall-- Laxmi Nagar,https://www.zomato.com/ncr/drinks-at-mrp-laxmi-nagar-new-delhi/info,Casual Dining,2.2,52.0,,
The Treat,500,"['North Indian', 'Mughlai', 'Chinese']",Delhi NCR,Chanakyapuri,https://www.zomato.com/ncr/the-treat-chanakyapuri-new-delhi/info,Quick Bites,2.2,234.0,28.5928237558,77.1788752824
Food.com,450,"['North Indian', 'South Indian', 'Chinese']",Guwahati,Six Mile,https://www.zomato.com/guwahati/food-com-six-mile/info,Quick Bites,2.2,147.0,,
Shobha,500,"['North Indian', 'South Indian']",Mumbai,Breach Candy,https://www.zomato.com/mumbai/shobha-breach-candy/info,Quick Bites,2.2,47.0,18.9760707064,72.8073798493
Southeye,300,['South Indian'],Delhi NCR,Ashok Vihar Phase 2,https://www.zomato.com/ncr/southeye-2-ashok-vihar-phase-2-new-delhi/info,Quick Bites,2.2,58.0,,
Punjabi Tadka,700,"['North Indian', 'Chinese']",Hyderabad,Kondapur,https://www.zomato.com/hyderabad/punjabi-tadka-kondapur/info,Casual Dining,2.1,580.0,17.4605281698,78.3663488925
Brown Sugar Cafe,400,"['Cafe', 'Bakery']",Bhopal,Gulmohar Colony,https://www.zomato.com/bhopal/brown-sugar-cafe-gulmohar-colony/info,Café,2.1,74.0,23.1884602517,77.4334092066
Ibrahim's,500,"['Mughlai', 'Lucknowi', 'Biryani']",Mumbai,Malad West,https://www.zomato.com/mumbai/ibrahims-malad-west/info,Quick Bites,2.1,140.0,19.1441098000,72.8366762000
Courtallam Border Parotta,950,"['North Indian', 'Chettinad', 'Biryani', 'South Indian', 'Chinese', 'Italian']",Chennai,Velachery,https://www.zomato.com/chennai/courtallam-border-parotta-velachery/info,Casual Dining,2.1,240.0,12.9847956123,80.2178157493
Wonders of Kashmir - Khyen Chyen,700,"['Kashmiri', 'Biryani', 'Kebab']",Delhi NCR,Select Citywalk Mall-- Saket,https://www.zomato.com/ncr/wonders-of-kashmir-khyen-chyen-saket-new-delhi/info,Food Court,2.1,67.0,28.5293831116,77.2194550931
Super Bakery,150,"['Bakery', 'Fast Food']",Delhi NCR,DLF Galleria-- DLF Phase 4,https://www.zomato.com/ncr/super-bakery-dlf-phase-4-gurgaon/info,Bakery,2.1,24.0,28.4669903751,77.0821078867
Chinese Garden Restaurant,550,"['Chinese', 'Seafood']",Mumbai,Dadar Shivaji Park,https://www.zomato.com/mumbai/chinese-garden-restaurant-dadar-shivaji-park/info,Casual Dining,1.8,133.0,19.0246520348,72.8353971988
