NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,CUSINE TYPE,RATING,VOTES,Latitude,Longitude
Asima Briyani Multicuisine Restaurant,700,"['Chinese', 'North Indian', 'Seafood', 'Biryani']",Chennai,Vadapalani,https://www.zomato.com/chennai/asima-briyani-multicuisine-restaurant-vadapalani/info,Casual Dining,3.6,74.0,13.0500743740,80.2117723972
Mom's Food Plaza,400,['North Indian'],Jabalpur,Wright Town,https://www.zomato.com/jabalpur/moms-food-plaza-wright-town/info,Quick Bites,2.9,6.0,23.1701194888,79.9240763113
Rahuls Italias Eat Some Delicious,200,['Chinese'],Pune,Budhwar Peth,https://www.zomato.com/pune/rahuls-italias-eat-some-delicious-budhwar-peth/info,Quick Bites,0.0,0.0,,
Food Express,300,['North Indian'],Delhi NCR,Sector 57-- Gurgaon,https://www.zomato.com/ncr/food-express-sector-57-gurgaon/info,Unknown,0.0,0.0,,
Chef's Kitchen,400,"['North Indian', 'Chinese', 'Street Food']",Ahmedabad,Tamu Chakula-- Thaltej,https://www.zomato.com/ahmedabad/chefs-kitchen-thaltej/info,Quick Bites,0.0,0.0,,
Brewberry's,250,['Cafe'],Vadodara,Makarpura,https://www.zomato.com/vadodara/brewberrys-makarpura/info,Café,3.9,58.0,,
Sethi's Bakery,100,"['Bakery', 'Desserts']",Ranchi,Kokar,https://www.zomato.com/ranchi/sethis-bakery-kokar/info,Quick Bites,0.0,0.0,23.3749706881,85.3574995324
Rewind Latenight Food,200,"['Rolls', 'Fast Food', 'Wraps']",Ahmedabad,Vastrapur,https://www.zomato.com/ahmedabad/rewind-latenight-food-vastrapur/info,Quick Bites,3.2,9.0,23.0369846532,72.5313081220
UBM Groups- Health to Enjoy Wealth,400,['Healthy Food'],Bengaluru,Yelahanka,https://www.zomato.com/bangalore/ubm-groups-health-to-enjoy-wealth-yelahanka-bangalore/info,Quick Bites,0.0,0.0,,
RCS Kitchen,500,['Continental'],Bengaluru,BTM,https://www.zomato.com/bangalore/rcs-kitchen-btm-bangalore/info,Quick Bites,3.6,37.0,12.9057049124,77.6074805483
Taheri Delights,300,"['North Indian', 'Fast Food', 'Desserts']",Mumbai,Hill Road-- Bandra West,https://www.zomato.com/mumbai/taheri-delights-hill-road-bandra-west/info,Unknown,3.9,48.0,19.0561316992,72.8349408880
Bhawani Pav Bhaji,100,['Street Food'],Udaipur,Panchwati,https://www.zomato.com/udaipur/bhawani-pav-bhaji-panchwati/info,Quick Bites,0.0,0.0,24.6014409729,73.6905796453
