NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,CUSINE TYPE,RATING,VOTES
The Street Cafe And Bistro,300,"['Desserts', 'Fast Food']",Agra,Kamla Nagar,https://www.zomato.com/agra/the-street-cafe-and-bistro-kamla-nagar/info,Quick Bites,0.0,0.0
Sai Khandelaa Restaurant,1000,"['North Indian', 'Chinese', 'Continental', 'Mughlai']",Agra,Agra Cantt,https://www.zomato.com/agra/sai-khandelaa-restaurant-agra-cantt/info,Casual Dining,3.9,46.0
Pind Balluchi,1000,"['Mughlai', 'North Indian']",Agra,Sikandra,https://www.zomato.com/agra/pind-balluchi-sikandra/info,Casual Dining,3.6,52.0
Biryani King,300,['Biryani'],Agra,Kamla Nagar,https://www.zomato.com/agra/biryani-king-kamla-nagar/info,Quick Bites,3.6,47.0
Taj Terrace - Hotel Taj Resorts,1000,"['North Indian', 'Continental', 'Chinese']",Agra,Tajganj,https://www.zomato.com/agra/taj-terrace-hotel-taj-resorts-tajganj/info,Casual Dining,3.9,24.0
Burger Point,100,"['Fast Food', 'Beverages']",Agra,Sikandra,https://www.zomato.com/agra/burger-point-sikandra/info,Quick Bites,0.0,0.0
Millenium Motors and Cafe,220,['Cafe'],Agra,Dayal Bagh,https://www.zomato.com/agra/millenium-motors-and-cafe-dayal-bagh/info,Café,3.6,24.0
Amritsari Tandoori Kulcha Wa Choor Choor Naan,250,['North Indian'],Agra,Civil Lines,https://www.zomato.com/agra/amritsari-tandoori-kulcha-wa-choor-choor-naan-civil-lines/info,Quick Bites,3.7,29.0
Tongue Twister,150,['Chinese'],Agra,Kamla Nagar,https://www.zomato.com/agra/tongue-twister-1-kamla-nagar/info,Unknown,3.7,29.0
Ambey Bakers,300,['Bakery'],Agra,Civil Lines,https://www.zomato.com/agra/ambey-bakers-civil-lines/info,Bakery,3.8,40.0
Udupi Shri Krishna Vilas,500,"['South Indian', 'North Indian']",Agra,Tajganj,https://www.zomato.com/agra/udupi-shri-krishna-vilas-tajganj/info,Casual Dining,3.7,26.0
Bake'O'Fy,300,"['Fast Food', 'Desserts']",Agra,Dayal Bagh,https://www.zomato.com/agra/bakeofy-1-dayal-bagh/info,Quick Bites,3.7,31.0
Chickenwala.com,300,['North Indian'],Agra,Sikandra,https://www.zomato.com/agra/chickenwala-com-sikandra/info,Quick Bites,3.5,57.0
